ILILCE_ENG,NO_DP,MIN_MMI,MAX_MMI,AV_MMI,DISTANCE,CALC_MMI
IZMIR_KONAK,1,2,2,2.0,141.45515386875562,1
IZMIR_KARSIYAKA,2,2,2,2.0,135.15594680029042,1
BALIKESIR_AYVALIK,2,2,2,2.0,128.2087021887839,1
BALIKESIR_ALTIEYLUL,1,2,2,2.0,13.00399130500677,4
BALIKESIR_KARESI,3,2,5,3.33,36.50806637545902,2
CANAKKALE_MERKEZ,1,2,2,2.0,171.25085153527766,1
BURSA_NILUFER,2,2,2,2.0,131.0804419388945,1
KOCAELI_KARAMURSEL,1,2,2,2.0,226.6616061506042,1
CANAKKALE_GELIBOLU,1,2,2,2.0,178.40532893013798,1
ISTANBUL_MALTEPE,1,2,2,2.0,217.41143126638633,1
ISTANBUL_FATIH,1,2,2,2.0,209.22119701066526,1
ISTANBUL_SARIYER,1,2,2,2.0,229.4591331330667,1
KIRKLARELI_MERKEZ,1,2,2,2.0,270.9512824106569,1
