ILILCE_ENG,NO_DP,MIN_MMI,MAX_MMI,AV_MMI,DISTANCE,CALC_MMI
MUGLA_MILAS,1,4,4,4,297.796244259912,1
IZMIR_BUCA,1,2,2,2,167.666516516307,1
IZMIR_ODEMIS,1,2,2,2,235.090779128092,1
IZMIR_BALCOVA,1,2,2,2,153.521365067184,1
IZMIR_KARSIYAKA,4,2,2,2,145.470361412917,1
IZMIR_BORNOVA,1,2,2,2,156.724488107231,1
IZMIR_FOCA,1,2,2,2,113.233147428603,1
IZMIR_ALIAGA,1,2,2,2,113.555082181998,1
MANISA_SOMA,1,2,2,2,135.423953821037,1
BALIKESIR_BURHANIYE,4,2,3,2.25,65.4257924690354,3
BALIKESIR_EDREMIT,4,2,3,2.25,52.5488182512008,3
BALIKESIR_KARESI,1,1,1,1,157.753015093948,1
CANAKKALE_YENICE,1,2,2,2,97.6343397496091,2
CANAKKALE_MERKEZ,5,1,4,2,47.9223836144239,3
BURSA_YILDIRIM,1,2,2,2,306.694943408661,1
BURSA_OSMANGAZI,2,2,2,2,300.044662635987,1
BALIKESIR_BANDIRMA,2,1,2,1.5,185.33659583926,1
CANAKKALE_LAPSEKI,1,2,2,2,82.2065977618394,2
CANAKKALE_BIGA,1,3,3,3,111.918127594846,2
CANAKKALE_GELIBOLU,1,2,2,2,103.263510704106,1
ISTANBUL_KARTAL,1,1,1,1,340.104714342748,1
ISTANBUL_TUZLA,1,2,2,2,355.413517960594,1
ISTANBUL_MALTEPE,3,1,2,1.67,337.044779273687,1
ISTANBUL_BAKIRKOY,1,2,2,2,306.582160833483,1
ISTANBUL_KADIKOY,1,2,2,2,328.836113969101,1
ISTANBUL_BAHCELIEVLER,1,2,2,2,308.759506510081,1
ISTANBUL_FATIH,1,2,2,2,319.467097560444,1
ISTANBUL_KUCUKCEKMECE,2,2,2,2,304.166634727513,1
ISTANBUL_BEYOGLU,1,2,2,2,322.645694361647,1
ISTANBUL_USKUDAR,2,1,1,1,330.787657174468,1
ISTANBUL_ESENYURT,1,1,1,1,293.659728959533,1
ISTANBUL_AVCILAR,1,2,2,2,297.805466031279,1
ISTANBUL_BESIKTAS,1,1,1,1,329.696818182687,1
ISTANBUL_CEKMEKOY,1,1,1,1,355.153868282952,1
ISTANBUL_BASAKSEHIR,3,1,2,1.67,306.263140968225,1
ISTANBUL_SARIYER,1,2,2,2,335.702561032471,1
ISTANBUL_EYUP,1,2,2,2,323.578525437235,1
ISTANBUL_SILIVRI,2,1,2,1.5,260.719056713053,1
