ILILCE_ENG,NO_DP,MIN_MMI,MAX_MMI,AV_MMI,DISTANCE,CALC_MMI
BALIKESIR_EDREMIT,1,2,2,2.0,174.74102891566858,1
BALIKESIR_KARESI,1,4,4,4.0,121.0369264551311,1
BALIKESIR_BANDIRMA,1,3,3,3.0,64.88211015160584,3
ISTANBUL_KARTAL,1,2,2,2.0,143.1044250904371,1
ISTANBUL_MALTEPE,2,2,2,2.0,138.18491437167,1
ISTANBUL_BAKIRKOY,1,3,3,3.0,102.47416034017057,2
ISTANBUL_ATASEHIR,2,2,3,2.5,135.09643241391885,1
ISTANBUL_KADIKOY,2,2,3,2.5,127.56698070882132,2
ISTANBUL_BAHCELIEVLER,2,2,2,2.0,103.70055705175197,2
KOCAELI_GEBZE,1,2,2,2.0,181.06851753030242,1
ISTANBUL_SANCAKTEPE,1,2,2,2.0,150.11686695407795,1
ISTANBUL_PENDIK,1,1,1,1.0,159.19322398290421,1
ISTANBUL_KUCUKCEKMECE,2,2,2,2.0,97.58012898039618,2
ISTANBUL_BEYOGLU,1,2,2,2.0,118.02651537562565,2
ISTANBUL_BAGCILAR,1,2,2,2.0,103.97378021648862,2
ISTANBUL_BAYRAMPASA,1,1,1,1.0,110.90873939914783,2
ISTANBUL_AVCILAR,1,2,2,2.0,90.38722116396109,2
ISTANBUL_BESIKTAS,4,2,3,2.5,124.73918080429277,2
ISTANBUL_ESENLER,1,2,2,2.0,107.75351535382205,2
ISTANBUL_SISLI,2,2,2,2.0,121.13488926144322,2
ISTANBUL_BUYUKCEKMECE,1,2,2,2.0,71.73375013286184,3
ISTANBUL_BASAKSEHIR,1,2,2,2.0,97.19747294174975,2
TEKIRDAG_MERKEZ,1,3,3,3.0,63.944402574772795,3
ISTANBUL_SULTANGAZI,1,2,2,2.0,110.05030651721057,2
ISTANBUL_SARIYER,2,2,2,2.0,127.40730805935956,2
TEKIRDAG_CERKEZKOY,1,2,2,2.0,46.20039208568267,4
ISTANBUL_SILIVRI,1,2,2,2.0,47.086234394293754,3
ISTANBUL_CATALCA,1,2,2,2.0,71.40248472859442,3
