ILILCE_ENG,NO_DP,MIN_MMI,MAX_MMI,AV_MMI,DISTANCE,CALC_MMI
MUGLA_DALAMAN,1,1,1,1.0,281.73902105090934,1
IZMIR_TORBALI,1,2,2,2.0,54.24833331663665,2
IZMIR_KARABAGLAR,1,3,3,3.0,27.16588818850638,2
IZMIR_BUCA,10,2,4,2.8,30.347324161766558,2
IZMIR_BALCOVA,2,2,4,3.0,22.095026834703543,3
IZMIR_NARLIDERE,1,1,1,1.0,26.158413999619007,3
IZMIR_CESME,1,2,2,2.0,84.53838827848344,1
IZMIR_URLA,2,2,2,2.0,60.16798120258591,1
IZMIR_KONAK,7,2,3,2.14,18.603143900476674,3
IZMIR_CIGLI,3,2,3,2.33,15.497648171928622,4
IZMIR_BAYRAKLI,2,2,2,2.0,11.852521951245029,4
IZMIR_KARSIYAKA,11,2,4,2.72,8.358149740135735,5
IZMIR_BORNOVA,14,2,3,2.36,21.02137537520549,3
IZMIR_KARABURUN,1,3,3,3.0,68.7557878003044,1
IZMIR_MENEMEN,1,4,4,4.0,6.26269627639816,5
IZMIR_FOCA,1,2,2,2.0,32.170254241854764,2
IZMIR_ALIAGA,2,2,3,2.5,25.02584409856191,3
BALIKESIR_EDREMIT,2,2,2,2.0,120.63836269407534,1
