ILILCE_ENG,NO_DP,MIN_MMI,MAX_MMI,AV_MMI,DISTANCE,CALC_MMI
ISTANBUL_ADALAR,1,2,2,2.0,37.63072462378904,2
ISTANBUL_KARTAL,1,2,2,2.0,50.54499005847006,1
ISTANBUL_TUZLA,1,2,2,2.0,67.8850613701135,1
ISTANBUL_SULTANBEYLI,1,2,2,2.0,58.994421649350535,1
ISTANBUL_BAKIRKOY,8,2,5,3.0,18.55983154650785,3
ISTANBUL_ATASEHIR,3,2,3,2.33,44.51871403640316,1
ISTANBUL_KADIKOY,4,2,2,2.0,37.41619825064172,2
ISTANBUL_BEYLIKDUZU,1,2,2,2.0,21.49247589406796,2
ISTANBUL_BAHCELIEVLER,2,3,4,3.5,21.648829384063696,2
ISTANBUL_GUNGOREN,3,2,5,3.33,24.77912588795509,2
ISTANBUL_FATIH,2,2,4,3.0,29.16146487676854,2
KOCAELI_GEBZE,1,2,2,2.0,88.18746495692702,1
ISTANBUL_PENDIK,1,2,2,2.0,66.99198834822117,1
ISTANBUL_KUCUKCEKMECE,2,2,3,2.5,22.086095864323607,2
ISTANBUL_BAGCILAR,3,2,3,2.33,25.263096437530432,2
ISTANBUL_AVCILAR,1,3,3,3.0,22.309843424593364,2
ISTANBUL_BESIKTAS,4,2,2,2.0,39.47982613333534,1
ISTANBUL_ESENLER,1,2,2,2.0,28.431236206333793,2
ISTANBUL_SISLI,6,2,4,2.67,36.41613372437149,1
ISTANBUL_KAGITHANE,2,2,4,3.0,37.18532957220023,1
ISTANBUL_SARIYER,2,2,2,2.0,48.726188009307016,1
ISTANBUL_EYUP,1,2,2,2.0,42.79601034522889,1
