ILILCE_ENG,NO_DP,MIN_MMI,MAX_MMI,AV_MMI,DISTANCE,CALC_MMI
IZMIR_GAZIEMIR,2,2,3,2.5,233.59367876056695,1
IZMIR_KARSIYAKA,4,2,5,3.5,230.11991697496384,1
MANISA_ALASEHIR,1,2,2,2.0,111.85900177266024,3
IZMIR_BORNOVA,3,2,3,2.33,217.20594093143623,1
MANISA_TURGUTLU,1,3,3,3.0,167.01644112147898,1
KUTAHYA_SIMAV,1,5,5,5.0,18.602016795066824,7
BALIKESIR_BURHANIYE,1,2,2,2.0,236.38096571333418,1
KUTAHYA_MERKEZ,3,2,5,4.0,113.3369567268476,3
BALIKESIR_EDREMIT,2,2,2,2.0,250.3696840323175,1
ESKISEHIR_TEPEBASI,2,5,5,5.0,179.9886902832098,1
CANAKKALE_BIGA,1,2,2,2.0,244.59509600915678,1
BURSA_GEMLIK,1,3,3,3.0,143.44954023118237,1
KOCAELI_GOLCUK,1,3,3,3.0,185.48776392066296,1
KOCAELI_DILOVASI,1,2,2,2.0,196.45912348908683,1
BOLU_MERKEZ,1,2,2,2.0,333.9187745339542,1
KOCAELI_IZMIT,7,2,5,3.0,215.88530033220016,1
ISTANBUL_MALTEPE,2,2,2,2.0,200.69147634100815,1
ISTANBUL_ATASEHIR,1,4,4,4.0,204.94085852286017,1
ISTANBUL_KADIKOY,11,2,3,2.18,204.28184514404086,1
ISTANBUL_BEYLIKDUZU,2,2,2,2.0,210.99603231201678,1
ISTANBUL_BAHCELIEVLER,1,2,2,2.0,209.27607977812872,1
ISTANBUL_GUNGOREN,1,5,5,5.0,209.97087967790378,1
ISTANBUL_FATIH,3,2,3,2.67,208.57716344868058,1
ISTANBUL_KUCUKCEKMECE,1,2,2,2.0,212.52577114713046,1
ISTANBUL_BEYOGLU,1,2,2,2.0,211.44317096749472,1
ISTANBUL_UMRANIYE,1,2,2,2.0,208.96963907482998,1
ISTANBUL_USKUDAR,1,2,2,2.0,209.88573703966625,1
ISTANBUL_AVCILAR,1,2,2,2.0,213.65129035863282,1
ISTANBUL_BESIKTAS,3,2,3,2.33,214.47718931372017,1
ISTANBUL_SISLI,4,2,3,2.25,213.888761221772,1
ISTANBUL_BUYUKCEKMECE,1,4,4,4.0,221.4470800623959,1
ISTANBUL_BASAKSEHIR,2,2,3,2.5,220.61834174862352,1
ISTANBUL_SILE,1,2,2,2.0,224.7410759877623,1
ISTANBUL_BEYKOZ,2,2,2,2.0,222.9922120862223,1
ISTANBUL_SARIYER,1,3,3,3.0,227.21724982179782,1
TEKIRDAG_CERKEZKOY,1,2,2,2.0,265.9112863216381,1
ISTANBUL_SILIVRI,2,3,3,3.0,248.36767048493272,1
