ILILCE_ENG,NO_DP,MIN_MMI,MAX_MMI,AV_MMI,DISTANCE,CALC_MMI
MUGLA_BODRUM,1,2,2,2,235.845408399908,1
AYDIN_KUSADASI,1,2,2,2,156.607006709286,1
IZMIR_MENDERES,1,3,3,3,115.359938221151,4
IZMIR_TORBALI,1,2,2,2,135.864255331537,4
IZMIR_GAZIEMIR,5,2,5,2.6,107.512734389352,4
IZMIR_BUCA,7,2,2,2,113.873631452936,4
IZMIR_BALCOVA,2,2,3,2.5,93.662944097949,5
IZMIR_NARLIDERE,1,2,2,2,88.1062331626873,5
IZMIR_CESME,5,2,5,3.2,62.2171574763422,5
IZMIR_URLA,5,2,4,3.2,68.9884209911671,5
IZMIR_KONAK,9,2,6,3,100.579969685599,4
IZMIR_CIGLI,2,2,2,2,81.1740313266384,6
IZMIR_BAYRAKLI,1,2,2,2,98.3893221357117,4
IZMIR_KARSIYAKA,7,2,4,2.43,94.0020366022326,5
IZMIR_BORNOVA,10,2,5,2.5,109.055614283721,4
IZMIR_KARABURUN,1,6,6,6,36.4039738324407,6
IZMIR_FOCA,1,4,4,4,56.3124938626898,6
MANISA_YUNUSEMRE,1,6,6,6,105.716944155038,4
IZMIR_DIKILI,2,2,5,3.5,67.7804241962958,5
IZMIR_BERGAMA,2,2,2,2,99.56007788025,5
BALIKESIR_BURHANIYE,2,2,3,2.5,96.9631688201366,4
BALIKESIR_EDREMIT,1,2,2,2,107.806740869574,4
BALIKESIR_KARESI,1,2,2,2,194.309635436172,1
ANKARA_PURSAKLAR,1,1,1,1,719.306422929393,1
BURSA_INEGOL,1,2,2,2,375.998287454623,1
CANAKKALE_MERKEZ,1,2,2,2,133.827832476927,1
BURSA_NILUFER,1,4,4,4,312.261160764892,1
CANAKKALE_LAPSEKI,1,2,2,2,164.756109264554,1
ISTANBUL_KARTAL,1,2,2,2,391.242639930483,1
ISTANBUL_TUZLA,2,2,2,2,404.51281966044,1
ISTANBUL_MALTEPE,1,2,2,2,389.289218482676,1
ISTANBUL_BAKIRKOY,4,2,2,2,363.207502903588,1
ISTANBUL_ATASEHIR,4,2,2,2,389.105222545433,1
ISTANBUL_KADIKOY,8,1,2,1.75,382.766647798702,1
ISTANBUL_BEYLIKDUZU,10,1,3,2,347.943967891716,1
ISTANBUL_BAHCELIEVLER,2,1,2,1.5,365.780774801376,1
ISTANBUL_ZEYTINBURNU,1,2,2,2,371.286088449683,1
ISTANBUL_FATIH,3,2,2,2,375.284720797587,1
EDIRNE_KESAN,1,2,2,2,215.987744449619,1
KOCAELI_GEBZE,1,2,2,2,422.706815531786,1
ISTANBUL_SANCAKTEPE,1,2,2,2,402.416229249046,1
ISTANBUL_PENDIK,1,2,2,2,406.87587672907,1
ISTANBUL_KUCUKCEKMECE,1,2,2,2,362.283383775303,1
ISTANBUL_UMRANIYE,1,2,2,2,391.780509047673,1
ISTANBUL_BAGCILAR,3,1,2,1.67,368.09834493969,1
ISTANBUL_BAYRAMPASA,1,2,2,2,373.68661587966,1
ISTANBUL_USKUDAR,2,1,2,1.5,385.668021378886,1
ISTANBUL_ESENYURT,6,1,2,1.5,353.583736671614,1
ISTANBUL_AVCILAR,1,3,3,3,356.725206587388,1
ISTANBUL_BESIKTAS,3,2,2,2,385.640541077858,1
ISTANBUL_SISLI,3,1,3,2,382.448022406576,1
ISTANBUL_KAGITHANE,1,2,2,2,382.88414554232,1
ISTANBUL_BUYUKCEKMECE,1,2,2,2,344.293418012557,1
ISTANBUL_CEKMEKOY,1,2,2,2,408.328466131735,1
ISTANBUL_BASAKSEHIR,3,2,2,2,365.816759621515,1
TEKIRDAG_MERKEZ,1,2,2,2,261.431516590852,1
ISTANBUL_BEYKOZ,1,2,2,2,406.102551260506,1
ISTANBUL_SARIYER,1,2,2,2,393.551765059757,1
ISTANBUL_SILIVRI,2,2,2,2,329.315525744343,1
ISTANBUL_ARNAVUTKOY,2,2,2,2,369.653767493683,1
