ILILCE_ENG,NO_DP,MIN_MMI,MAX_MMI,AV_MMI,DISTANCE,CALC_MMI
ISTANBUL_SILIVRI,5,2,6,3.8,33.6049592814471,5
TEKIRDAG_MARMARAEREGLISI,1,3,3,3,37.2091095868634,6
ISTANBUL_BUYUKCEKMECE,6,2,6,4.17,40.7228670338824,5
TEKIRDAG_CERKEZKOY,4,2,4,3,49.0405229971478,5
ISTANBUL_BEYLIKDUZU,7,2,5,3.14,49.6484080318574,5
ISTANBUL_ESENYURT,2,4,5,4.5,53.1489345115893,5
ISTANBUL_AVCILAR,5,2,6,3.8,58.3554710955431,5
ISTANBUL_ARNAVUTKOY,1,2,2,2,64.9503466746199,4
ISTANBUL_KUCUKCEKMECE,3,2,5,3,65.4629778373197,4
ISTANBUL_BASAKSEHIR,1,5,5,5,65.6522945906929,4
ISTANBUL_BAKIRKOY,7,2,5,3.14,70.1467615042748,4
ISTANBUL_BAHCELIEVLER,1,5,5,5,71.4420199884201,4
BURSA_KARACABEY,1,4,4,4,72.0874416574986,4
BALIKESIR_BANDIRMA,1,2,2,2,73.0563986842871,4
ISTANBUL_ESENLER,2,2,2,2,75.7113381305372,4
ISTANBUL_ZEYTINBURNU,1,5,5,5,78.7211644487874,4
ISTANBUL_GAZIOSMANPASA,2,2,2,2,80.2548712313287,4
ISTANBUL_EYUP,5,2,5,2.8,82.4740977437926,4
ISTANBUL_FATIH,12,2,5,3,83.2953269425955,4
ISTANBUL_BEYOGLU,8,2,5,3.25,85.7958862206919,4
BURSA_MUDANYA,1,2,2,2,86.2463066875238,3
ISTANBUL_KAGITHANE,5,2,4,3,88.1928134525444,4
ISTANBUL_SISLI,15,2,5,3.4,88.9682537162934,4
ISTANBUL_BESIKTAS,21,2,5,2.8,92.572363203344,3
ISTANBUL_KADIKOY,23,2,5,2.3,95.2074810214366,3
ISTANBUL_USKUDAR,7,2,5,2.71,95.291723936918,3
ISTANBUL_SARIYER,12,2,4,2.33,95.8509301763323,3
ISTANBUL_ATASEHIR,10,2,4,2.4,102.736357616673,3
BURSA_NILUFER,2,2,2,2,103.088860776986,3
ISTANBUL_UMRANIYE,7,2,4,2.86,103.538002619691,3
ISTANBUL_MALTEPE,4,2,4,2.75,105.836427620406,3
ISTANBUL_KARTAL,5,2,5,2.6,110.803470190723,3
ISTANBUL_BEYKOZ,2,4,4,4,113.588663841519,3
BURSA_GEMLIK,1,2,2,2,115.504295642043,3
ISTANBUL_SANCAKTEPE,2,2,4,3,117.759129680401,3
BURSA_OSMANGAZI,1,2,2,2,125.58028573322,2
ISTANBUL_PENDIK,4,2,2,2,126.848750168729,3
ISTANBUL_TUZLA,5,2,2,2,128.592317279301,3
KOCAELI_CAYIROVA,1,1,1,1,131.576237347656,3
KOCAELI_GEBZE,7,2,2,2,148.786140116471,1
KOCAELI_DILOVASI,1,2,2,2,154.077293454862,1
KOCAELI_GOLCUK,1,2,2,2,177.645471201434,1
BALIKESIR_EDREMIT,1,2,2,2,199.350720306902,1
KUTAHYA_TAVSANLI,1,2,2,2,200.795804316926,1
EDIRNE_MERKEZ,1,2,2,2,201.434943149162,1
KOCAELI_IZMIT,7,2,2,2,203.745777067527,1
KOCAELI_KANDIRA,1,2,2,2,211.496589811039,1
SAKARYA_PAMUKOVA,1,1,1,1,213.651972294442,1
SAKARYA_SAPANCA,2,2,2,2,226.626877389959,1
SAKARYA_SERDIVAN,1,2,2,2,232.849101945192,1
SAKARYA_KAYNARCA,1,2,2,2,239.300634604792,1
SAKARYA_MERKEZ,1,4,4,4,241.752145566813,1
ESKISEHIR_ODUNPAZARI,1,2,2,2,295.982465615828,1
IZMIR_KONAK,1,2,2,2,297.540204865741,1
ZONGULDAK_EREGLI,1,2,2,2,379.422587083095,1
