ILILCE_ENG,NO_DP,MIN_MMI,MAX_MMI,AV_MMI,DISTANCE,CALC_MMI
YALOVA_CIFTLIKKOY,1,2,2,2.0,15.288035804657268,3
KOCAELI_CAYIROVA,1,2,2,2.0,22.867828655029452,2
ISTANBUL_KARTAL,2,2,3,2.5,25.459467368002677,1
ISTANBUL_TUZLA,9,2,3,2.11,25.447005494319395,2
ISTANBUL_MALTEPE,1,2,2,2.0,30.565179478903275,1
ISTANBUL_SULTANBEYLI,1,2,2,2.0,30.51831998067033,1
ISTANBUL_BAKIRKOY,2,2,2,2.0,57.198956371304604,1
ISTANBUL_KADIKOY,1,1,1,1.0,38.98329042032766,1
KOCAELI_GEBZE,6,2,3,2.17,40.708878395803445,1
ISTANBUL_PENDIK,5,2,3,2.2,31.16573845163051,1
