ILILCE_ENG,NO_DP,MIN_MMI,MAX_MMI,AV_MMI,DISTANCE,CALC_MMI
IZMIR_KONAK,3,2,3,2.33,170.16556978659477,1
IZMIR_BORNOVA,1,5,5,5.0,174.82491001716218,1
BALIKESIR_AYVALIK,1,4,4,4.0,81.3417910040776,3
IZMIR_BERGAMA,1,2,2,2.0,129.75757082730922,1
CANAKKALE_GOKCEADA,1,2,2,2.0,76.67303096832705,2
ISTANBUL_BAKIRKOY,1,2,2,2.0,347.4923900349077,1
ISTANBUL_BEYLIKDUZU,1,2,2,2.0,329.391943652922,1
ISTANBUL_FATIH,3,2,3,2.33,360.4485052014418,1
EDIRNE_KESAN,1,2,2,2.0,152.2844501823962,1
ISTANBUL_BAGCILAR,2,1,2,1.5,351.133535125348,1
ISTANBUL_ESENYURT,1,2,2,2.0,334.10113791840035,1
ISTANBUL_BUYUKCEKMECE,1,2,2,2.0,322.659890336162,1
ISTANBUL_SARIYER,2,2,3,2.5,376.3525591562102,1
