ILILCE_ENG,NO_DP,MIN_MMI,MAX_MMI,AV_MMI,DISTANCE,CALC_MMI
BURSA_MUDANYA,1,2,2,2,66.4674712008029,1
KOCAELI_KARAMURSEL,2,2,2,2,37.2100121737881,2
ISTANBUL_KARTAL,13,1,3,2.08,26.3207877609798,2
ISTANBUL_TUZLA,8,2,3,2.38,26.9538017283232,2
ISTANBUL_MALTEPE,11,1,3,2.09,31.2355392030447,2
ISTANBUL_ATASEHIR,1,2,2,2,36.5147511052993,2
KOCAELI_DERINCE,1,2,2,2,69.860566600824,1
ISTANBUL_KADIKOY,4,2,3,2.5,39.3039089444769,1
ISTANBUL_BAHCELIEVLER,1,3,3,3,58.1695026846597,1
KOCAELI_GEBZE,14,2,5,2.86,42.2665797005833,1
ISTANBUL_PENDIK,4,1,3,2,32.5810495699972,2
ISTANBUL_KUCUKCEKMECE,1,3,3,3,64.8236905384115,1
ISTANBUL_BEYOGLU,1,1,1,1,50.9030842669796,1
ISTANBUL_USKUDAR,1,2,2,2,44.4931815925167,1
ISTANBUL_BESIKTAS,1,1,1,1,50.2125731753955,1
ISTANBUL_SISLI,2,2,2,2,51.4463330355251,1
ISTANBUL_KAGITHANE,1,2,2,2,54.1315217282965,1
ISTANBUL_SARIYER,1,1,1,1,61.7348722584457,1
