ILILCE_ENG,NO_DP,MIN_MMI,MAX_MMI,AV_MMI,DISTANCE,CALC_MMI
IZMIR_KONAK,3,1,2,1.33,178.01430585285996,1
IZMIR_BAYRAKLI,1,1,1,1.0,173.45076377797238,1
IZMIR_BORNOVA,2,2,2,2.0,182.65536392586824,1
IZMIR_FOCA,1,4,4,4.0,132.5621065286976,2
IZMIR_BERGAMA,1,2,2,2.0,136.73427131566612,2
MANISA_SOMA,1,2,2,2.0,177.7741190551498,1
BALIKESIR_EDREMIT,2,2,3,2.5,98.45588577010328,2
CANAKKALE_MERKEZ,1,3,3,3.0,75.2843155522375,3
ISTANBUL_BAKIRKOY,2,2,2,2.0,349.86708813860844,1
ISTANBUL_BAHCELIEVLER,1,2,2,2.0,351.93312457351095,1
ISTANBUL_FATIH,1,1,1,1.0,362.87680755266484,1
ISTANBUL_KUCUKCEKMECE,1,2,2,2.0,347.082498441137,1
ISTANBUL_BUYUKCEKMECE,1,2,2,2.0,324.50784500347936,1
TEKIRDAG_MERKEZ,1,2,2,2.0,216.47372005977408,1
ISTANBUL_BEYKOZ,1,4,4,4.0,394.2735029073516,1
