ILILCE_ENG,NO_DP,MIN_MMI,MAX_MMI,AV_MMI,DISTANCE,CALC_MMI
SAKARYA_MERKEZ,1,2,2,2.0,153.4851076274544,1
ISTANBUL_BAKIRKOY,2,2,2,2.0,247.796708103944,1
ISTANBUL_ATASEHIR,3,2,3,2.33,220.539767476153,1
ISTANBUL_BEYLIKDUZU,3,2,3,2.67,265.389993152031,1
ISTANBUL_BAHCELIEVLER,1,1,1,1.0,245.50835448776178,1
ISTANBUL_USKUDAR,2,2,2,2.0,224.29499346949996,1
ISTANBUL_ESENYURT,1,3,3,3.0,260.7202848434165,1
ISTANBUL_AVCILAR,2,2,2,2.0,256.38004088939346,1
ISTANBUL_BESIKTAS,1,2,2,2.0,224.82978153328864,1
ISTANBUL_SISLI,3,2,2,2.0,228.19064209803545,1
KOCAELI_KANDIRA,1,2,2,2.0,144.22491815167032,1
ISTANBUL_EYUP,2,2,2,2.0,230.92426408808322,1
KASTAMONU_INEBOLU,1,2,2,2.0,338.8664946306,1
