ILILCE_ENG,NO_DP,MIN_MMI,MAX_MMI,AV_MMI,DISTANCE,CALC_MMI
BURSA_YILDIRIM,1,3,3,3,56.1426741280155,1
YALOVA_CINARCIK,1,4,4,4,19.4391086290222,3
ISTANBUL_ADALAR,1,4,4,4,22.7673354219074,3
ISTANBUL_KARTAL,6,2,4,3.17,23.6794823094559,2
SAKARYA_MERKEZ,1,2,2,2,131.7133333918,1
ISTANBUL_TUZLA,5,2,4,2.6,27.629756961302,3
ISTANBUL_MALTEPE,10,2,4,2.9,27.9483627164242,2
ISTANBUL_BAKIRKOY,3,2,2,2,52.0330128074146,1
ISTANBUL_ATASEHIR,7,1,4,2.43,32.9894070795625,2
ISTANBUL_KADIKOY,9,2,4,2.33,35.1591783738911,2
ISTANBUL_BAHCELIEVLER,2,2,3,2.5,53.3260621837913,1
ISTANBUL_FATIH,3,2,4,2.67,45.2666571379837,1
KOCAELI_GEBZE,2,2,2,2,44.6227267442999,2
ISTANBUL_PENDIK,7,2,4,2.29,32.3887662000863,2
ISTANBUL_UMRANIYE,3,2,4,2.67,36.8162721198856,2
ISTANBUL_USKUDAR,9,2,4,3.11,40.4924152994937,1
ISTANBUL_BESIKTAS,6,2,4,3.17,46.1365999720442,1
ISTANBUL_SISLI,3,2,4,2.67,47.1815498523748,1
ISTANBUL_KAGITHANE,1,2,2,2,49.8708231834481,1
ISTANBUL_BEYKOZ,1,4,4,4,49.5846440495608,1
ISTANBUL_SARIYER,4,2,2,2,57.9468674258758,1
