ILILCE_ENG,NO_DP,MIN_MMI,MAX_MMI,AV_MMI,DISTANCE,CALC_MMI
BURSA_GEMLIK,1,2,2,2,24.9720271069353,2
YALOVA_CINARCIK,2,2,4,3,9.56021372317526,4
KOCAELI_KARAMURSEL,1,2,2,2,66.6250732348039,1
KOCAELI_IZMIT,1,2,2,2,121.694284504316,1
ISTANBUL_TUZLA,1,4,4,4,55.3013763333499,1
ISTANBUL_MALTEPE,2,2,4,3,45.4278252267815,1
ISTANBUL_BAKIRKOY,1,2,2,2,47.2587628834855,1
ISTANBUL_KADIKOY,7,2,4,2.86,45.3186864317232,1
ISTANBUL_FATIH,2,2,2,2,48.1852035318115,1
KOCAELI_GEBZE,2,2,2,2,73.3596943358465,1
ISTANBUL_SANCAKTEPE,2,2,2,2,56.9618750400937,1
ISTANBUL_PENDIK,1,4,4,4,58.5644730860961,1
ISTANBUL_KUCUKCEKMECE,1,2,2,2,54.4038723049013,1
ISTANBUL_UMRANIYE,1,2,2,2,51.9123096637884,1
ISTANBUL_AVCILAR,2,2,3,2.5,57.5721680794938,1
ISTANBUL_BESIKTAS,1,2,2,2,54.6601698852641,1
ISTANBUL_ESENLER,1,2,2,2,55.0167677122506,1
ISTANBUL_SISLI,4,2,3,2.5,53.7128139051076,1
ISTANBUL_KAGITHANE,3,2,4,2.67,56.010441529773,1
ISTANBUL_BEYKOZ,1,3,3,3,67.3815414229151,1
ISTANBUL_SARIYER,2,2,2,2,67.3240877892773,1
ISTANBUL_EYUP,1,2,2,2,69.169562629588,1
ISTANBUL_ARNAVUTKOY,1,2,2,2,79.7329838276743,1
