ILILCE_ENG,NO_DP,MIN_MMI,MAX_MMI,AV_MMI,DISTANCE,CALC_MMI
MUGLA_BODRUM,3,2,2,2,128.373524331289,1
AYDIN_DIDIM,1,2,2,2,81.0287858509709,1
AYDIN_KUSADASI,6,2,2,2,53.362314389905,2
AYDIN_MERKEZ,1,2,2,2,120.568393644371,1
AYDIN_NAZILLI,1,2,2,2,167.525424303166,1
IZMIR_SEFERIHISAR,7,2,3,2.86,18.0066377748789,4
IZMIR_MENDERES,4,2,3,2.5,33.3164579349223,3
IZMIR_TORBALI,2,2,2,2,60.0382504004101,3
IZMIR_GAZIEMIR,6,2,4,2.5,48.0821153638926,2
IZMIR_GUZELBAHCE,1,2,2,2,34.4934724500901,3
IZMIR_KARABAGLAR,1,5,5,5,42.0142588995107,2
IZMIR_BUCA,4,2,2,2,56.9658557597709,2
IZMIR_BALCOVA,1,2,2,2,46.5700224109888,2
IZMIR_NARLIDERE,1,2,2,2,42.0804228964898,2
IZMIR_CESME,3,1,2,1.67,58.7806658720238,2
IZMIR_URLA,6,2,3,2.33,38.9431940245932,3
IZMIR_KONAK,23,1,5,2.17,55.2374145333964,2
IZMIR_CIGLI,3,1,3,2,54.9364110032227,2
IZMIR_BAYRAKLI,2,2,2,2,62.7825321308813,2
IZMIR_KEMALPASA,1,2,2,2,82.7221186030404,1
IZMIR_KARSIYAKA,6,2,3,2.17,62.2881566687902,2
IZMIR_BORNOVA,7,2,2,2,68.070941308497,1
MANISA_TURGUTLU,1,2,2,2,111.965862433711,1
IZMIR_MENEMEN,1,2,2,2,70.1105105831588,2
IZMIR_FOCA,1,2,2,2,73.39366383859,1
MANISA_YUNUSEMRE,1,2,2,2,96.1369278805665,1
IZMIR_ALIAGA,1,2,2,2,88.6475995176132,1
BALIKESIR_AYVALIK,2,2,2,2,140.246565234381,1
BALIKESIR_GOMEC,1,4,4,4,148.738686381805,1
BALIKESIR_BURHANIYE,1,2,2,2,158.667050127761,1
BALIKESIR_EDREMIT,1,2,2,2,180.884598050936,1
ISTANBUL_KAGITHANE,1,1,1,1,414.12068710611,1
