ILILCE_ENG,NO_DP,MIN_MMI,MAX_MMI,AV_MMI,DISTANCE,CALC_MMI
IZMIR_GAZIEMIR,3,2,2,2,151.59335965134,1
IZMIR_KARABAGLAR,1,2,2,2,157.083454449706,1
IZMIR_BUCA,3,2,2,2,144.043564829302,1
IZMIR_ODEMIS,1,2,2,2,139.020266681619,1
IZMIR_KONAK,1,2,2,2,143.677536236941,1
IZMIR_BAYRAKLI,2,1,2,1.5,136.321510674809,1
IZMIR_KARSIYAKA,6,1,2,1.83,137.43900540426,1
IZMIR_BORNOVA,6,2,2,2,131.198642987225,1
MANISA_SALIHLI,1,2,2,2,104.9311430306,1
MANISA_SEHZADELER,1,2,2,2,103.370399905222,1
IZMIR_ALIAGA,2,2,2,2,122.842073965113,1
MANISA_AKHISAR,1,3,3,3,54.4563343083292,2
BALIKESIR_BURHANIYE,1,2,2,2,104.119672649452,1
BALIKESIR_EDREMIT,1,2,2,2,116.162147170125,1
BALIKESIR_KARESI,3,2,3,2.33,35.9456918518137,3
CANAKKALE_MERKEZ,2,2,2,2,172.865076155168,1
BURSA_NILUFER,3,1,2,1.67,128.658898310867,1
BALIKESIR_GONEN,1,2,2,2,82.1334576051855,1
BALIKESIR_BANDIRMA,1,2,2,2,90.8498007058411,1
CANAKKALE_BIGA,1,2,2,2,121.052320987215,1
ISTANBUL_BAKIRKOY,1,2,2,2,197.253273727362,1
KOCAELI_GEBZE,1,1,1,1,242.40720003823,1
ISTANBUL_SARIYER,1,1,1,1,227.335941826552,1
TEKIRDAG_CERKEZKOY,1,2,2,2,201.10919240846,1
ISTANBUL_SILIVRI,1,2,2,2,194.279451023453,1
ISTANBUL_ARNAVUTKOY,1,2,2,2,214.469072781982,1
