ILILCE_ENG,NO_DP,MIN_MMI,MAX_MMI,AV_MMI,DISTANCE,CALC_MMI
KOCAELI_GOLCUK,1,2,2,2.0,60.67881396578536,1
ISTANBUL_KARTAL,4,2,2,2.0,24.13969386975345,1
ISTANBUL_TUZLA,2,2,2,2.0,25.039138490456196,1
ISTANBUL_MALTEPE,6,2,2,2.0,29.137606549092208,1
ISTANBUL_SULTANBEYLI,1,2,2,2.0,29.49001472916902,1
KOCAELI_DERINCE,1,2,2,2.0,69.18701085502609,1
ISTANBUL_KADIKOY,1,2,2,2.0,37.44172109326681,1
KOCAELI_KORFEZ,1,2,2,2.0,57.55781705138099,1
ISTANBUL_FATIH,1,2,2,2.0,48.233849696280465,1
KOCAELI_GEBZE,3,2,2,2.0,40.93652706284922,1
ISTANBUL_PENDIK,3,2,2,2.0,30.50399977456678,1
ISTANBUL_GAZIOSMANPASA,1,2,2,2.0,56.36330945030174,1
ISTANBUL_SARIYER,1,1,1,1.0,59.72492709586658,1
