ILILCE_ENG,NO_DP,MIN_MMI,MAX_MMI,AV_MMI,DISTANCE,CALC_MMI
IZMIR_BUCA,1,2,2,2.0,243.42343037965404,1
IZMIR_KONAK,5,2,3,2.6,230.02274602724327,1
IZMIR_CIGLI,1,3,3,3.0,210.96494582098626,1
IZMIR_BAYRAKLI,2,2,3,2.5,226.5592922621806,1
IZMIR_KARSIYAKA,3,2,3,2.33,222.23447703200182,1
IZMIR_BORNOVA,3,2,2,2.0,236.52365313784105,1
IZMIR_BERGAMA,1,3,3,3.0,196.9785642419327,1
CANAKKALE_BIGA,1,3,3,3.0,203.28730730862094,1
ISTANBUL_KARTAL,1,2,2,2.0,436.88781921206623,1
ISTANBUL_MALTEPE,3,2,3,2.33,433.2254969919065,1
ISTANBUL_BAKIRKOY,3,2,3,2.33,400.49403802330977,1
ISTANBUL_ATASEHIR,5,2,3,2.2,431.3834723923047,1
ISTANBUL_KADIKOY,3,2,3,2.33,424.1115393809935,1
ISTANBUL_BEYLIKDUZU,6,2,3,2.17,381.27613262550267,1
ISTANBUL_BAHCELIEVLER,2,2,3,2.5,402.3378822094153,1
ISTANBUL_ZEYTINBURNU,4,2,2,2.0,409.16919288898765,1
ISTANBUL_GUNGOREN,1,2,2,2.0,406.7563629237745,1
KOCAELI_GEBZE,1,2,2,2.0,473.0701293461644,1
ISTANBUL_PENDIK,1,2,2,2.0,453.3940106452255,1
ISTANBUL_BEYOGLU,4,2,2,2.0,416.59607168311834,1
ISTANBUL_BAGCILAR,1,3,3,3.0,403.4231663420804,1
ISTANBUL_BAYRAMPASA,1,3,3,3.0,410.06622652876104,1
ISTANBUL_ESENYURT,2,3,4,3.5,385.3853790469584,1
ISTANBUL_AVCILAR,4,2,3,2.5,390.22159014187156,1
ISTANBUL_BESIKTAS,4,2,2,2.0,423.59714638734533,1
ISTANBUL_SISLI,3,2,2,2.0,420.04407506442925,1
ISTANBUL_BUYUKCEKMECE,1,2,2,2.0,373.0069780382258,1
ISTANBUL_BASAKSEHIR,1,3,3,3.0,397.9623753864916,1
ISTANBUL_SULTANGAZI,1,2,2,2.0,410.54632796716913,1
ISTANBUL_BEYKOZ,1,2,2,2.0,444.87546771992504,1
KIRKLARELI_LULEBURGAZ,1,2,2,2.0,289.5238310204525,1
KIRKLARELI_BABAESKI,1,2,2,2.0,270.80048720975924,1
